building_type,price,construction_Year,building_condition,heating_Type,bedroom,province
house,449000,2022,torenovate,gas,6,Antwerp
house,598000,1962,torenovate,gas,3,Antwerp
apartment,159000,1974,torenovate,gas,2,Antwerp
house,475000,1973,justrenovated,gas,4,Antwerp
house,749000,2002,good,gas,5,Antwerp
house,452000,1976,good,gas,4,Antwerp
house,450000,2016,justrenovated,gas,3,Antwerp
house,225000,1935,torenovate,gas,2,Antwerp
house,449000,1983,justrenovated,gas,3,Antwerp
apartment,395000,2020,justrenovated,gas,3,Antwerp
house,342500,2021,good,gas,3,Antwerp
house,335000,2022,justrenovated,gas,3,Antwerp
house,299000,1936,torenovate,gas,4,Antwerp
house,398000,1982,justrenovated,gas,4,Antwerp
house,342500,2021,good,gas,3,Antwerp
house,349000,1910,good,gas,3,Antwerp
house,345000,1964,torenovate,gas,5,Antwerp
house,339000,1950,justrenovated,gas,4,Antwerp
house,339000,1953,justrenovated,gas,3,Antwerp
apartment,245000,1957,good,fueloil,2,Antwerp
house,498000,2005,good,gas,3,Antwerp
apartment,230750,2021,justrenovated,gas,1,Antwerp
apartment,330750,2021,justrenovated,gas,2,Antwerp
apartment,363250,2021,justrenovated,gas,3,Antwerp
house,399000,1965,torenovate,gas,4,Antwerp
house,298000,1915,justrenovated,gas,2,Antwerp
house,279000,1958,good,fueloil,4,Antwerp
apartment,279000,1979,good,gas,2,Antwerp
house,368500,1954,good,fueloil,3,Antwerp
house,229000,1954,good,pellet,3,Antwerp
apartment,249000,2021,good,gas,1,Antwerp
house,325000,1920,good,electric,4,Antwerp
house,445000,2000,good,gas,3,Antwerp
apartment,225000,2001,good,gas,2,Antwerp
house,320000,1937,torenovate,gas,4,Antwerp
house,346000,1910,good,gas,3,Antwerp
apartment,249000,2019,justrenovated,gas,1,Antwerp
house,384000,2021,good,gas,3,Antwerp
apartment,209000,2019,good,gas,1,Antwerp
apartment,265000,2007,good,gas,2,Antwerp
house,336000,2021,good,gas,3,Antwerp
house,336000,2021,good,gas,3,Antwerp
house,750000,1906,good,fueloil,5,Antwerp
house,549000,2006,good,gas,4,Antwerp
apartment,299500,2009,good,gas,2,Antwerp
apartment,265000,1969,good,gas,3,Antwerp
apartment,239000,2010,good,gas,2,Antwerp
apartment,240000,1973,torenovate,gas,2,Antwerp
apartment,275000,1923,justrenovated,gas,1,Antwerp
house,575000,1993,justrenovated,gas,4,Antwerp
apartment,188000,1991,good,electric,1,Antwerp
house,495000,1979,good,fueloil,5,Antwerp
house,760000,1918,torenovate,gas,6,Antwerp
apartment,224500,1975,good,gas,2,Antwerp
apartment,230000,2018,justrenovated,gas,1,Antwerp
house,159000,1972,good,gas,3,Antwerp
apartment,199000,1974,good,gas,2,Antwerp
apartment,299000,2016,justrenovated,gas,2,Antwerp
apartment,295000,1956,good,gas,3,Antwerp
apartment,267000,2009,good,gas,2,Antwerp
apartment,273000,2000,good,gas,3,Antwerp
apartment,235000,2013,justrenovated,gas,2,Antwerp
house,329000,1982,good,gas,4,Antwerp
house,585000,2006,good,gas,4,Antwerp
apartment,299000,2021,justrenovated,gas,2,Antwerp
house,375000,1962,good,fueloil,3,Antwerp
apartment,415000,1956,good,gas,3,Antwerp
house,269000,1955,good,gas,2,Antwerp
house,349000,1924,justrenovated,gas,3,Antwerp
apartment,265000,2007,good,gas,2,Antwerp
house,395000,1960,good,gas,5,Antwerp
apartment,415000,2015,justrenovated,gas,2,Antwerp
house,419000,1905,justrenovated,gas,3,Antwerp
house,315000,1965,good,fueloil,3,Antwerp
apartment,185000,1977,good,gas,2,Antwerp
apartment,459000,2010,good,gas,2,Antwerp
apartment,287000,1966,justrenovated,gas,2,Antwerp
house,645000,1965,torenovate,fueloil,4,Antwerp
house,349000,1974,good,gas,3,Antwerp
apartment,429000,2021,justrenovated,gas,3,Antwerp
apartment,199000,2012,good,gas,1,Antwerp
apartment,289000,2018,justrenovated,gas,2,Antwerp
apartment,286000,2022,justrenovated,gas,2,Antwerp
house,359000,1973,good,gas,3,Antwerp
house,295000,1946,justrenovated,gas,2,Antwerp
apartment,225000,1973,justrenovated,gas,2,Antwerp
house,315000,1918,good,gas,2,Antwerp
apartment,235200,2000,good,gas,2,Antwerp
apartment,275000,1983,good,gas,1,Antwerp
house,297000,1950,good,gas,2,Antwerp
apartment,279000,1990,good,gas,2,Antwerp
apartment,349000,2014,good,gas,2,Antwerp
house,239000,1951,torenovate,gas,3,Antwerp
apartment,449000,1933,good,gas,2,Antwerp
apartment,274000,2015,good,gas,2,Antwerp
apartment,249000,1971,good,gas,2,Antwerp
apartment,175000,1974,justrenovated,gas,2,Antwerp
