building_type,price,zip,kitchen_type,construction_Year,building_condition,heating_type,bedroom,province
apartment,224500,2650,semiequipped,1975,good,gas,2,Antwerp
apartment,349000,2580,installed,2014,good,gas,2,Antwerp
apartment,239000,2100,hyperequipped,1970,justrenovated,gas,2,Antwerp
apartment,225000,2660,installed,1966,justrenovated,gas,2,Antwerp
house,320000,2800,installed,1874,torenovate,gas,2,Antwerp
house,319000,2860,semiequipped,1954,torenovate,electric,2,Antwerp
apartment,225000,2200,installed,1973,justrenovated,gas,2,Antwerp
apartment,235200,2860,semiequipped,2000,good,gas,2,Antwerp
apartment,599000,2530,hyperequipped,2009,good,gas,2,Antwerp
apartment,295000,2930,installed,1956,good,gas,3,Antwerp
apartment,273000,2860,semiequipped,2000,good,gas,3,Antwerp
house,386000,2630,installed,1973,torenovate,fueloil,3,Antwerp
apartment,195000,2610,semiequipped,1930,justrenovated,gas,2,Antwerp
apartment,535000,2640,semiequipped,2003,good,gas,3,Antwerp
house,309000,2800,installed,1934,good,gas,2,Antwerp
apartment,229500,2100,installed,1983,good,gas,2,Antwerp
apartment,236000,2300,semiequipped,1960,justrenovated,gas,3,Antwerp
house,379000,2627,semiequipped,1979,justrenovated,gas,4,Antwerp
apartment,230000,2018,installed,2018,justrenovated,gas,1,Antwerp
house,159000,2620,installed,1972,good,gas,3,Antwerp
house,399000,2223,semiequipped,1981,good,fueloil,4,Antwerp
apartment,265000,2650,semiequipped,1969,good,gas,3,Antwerp
house,225000,2840,semiequipped,1935,torenovate,electric,3,Antwerp
house,295000,2870,installed,1946,justrenovated,gas,2,Antwerp
house,398000,2220,semiequipped,1978,good,gas,3,Antwerp
apartment,243000,2610,installed,1964,good,gas,3,Antwerp
house,499000,2590,installed,1999,good,gas,3,Antwerp
apartment,275000,2018,semiequipped,1923,justrenovated,gas,1,Antwerp
apartment,235000,2220,installed,2013,justrenovated,gas,2,Antwerp
apartment,372500,2018,installed,1923,justrenovated,gas,2,Antwerp
house,136000,2830,semiequipped,1951,torenovate,gas,3,Antwerp
apartment,379000,2018,installed,1918,justrenovated,gas,2,Antwerp
apartment,395000,2018,installed,1954,justrenovated,gas,2,Antwerp
house,187000,2890,semiequipped,1899,torenovate,gas,2,Antwerp
apartment,199000,2000,semiequipped,2012,good,gas,1,Antwerp
house,349000,2861,installed,1992,good,gas,2,Antwerp
house,310000,2220,semiequipped,1960,torenovate,gas,4,Antwerp
apartment,279000,2500,installed,1990,good,gas,2,Antwerp
house,230000,2880,semiequipped,1900,good,gas,2,Antwerp
house,310000,2490,installed,1963,good,gas,3,Antwerp
house,349000,2530,semiequipped,1924,justrenovated,gas,3,Antwerp
apartment,295000,2140,hyperequipped,1960,justrenovated,gas,2,Antwerp
apartment,244000,2570,installed,1984,good,gas,3,Antwerp
house,269000,2300,semiequipped,1958,good,gas,3,Antwerp
house,279000,2220,installed,1930,torenovate,gas,4,Antwerp
apartment,395000,2580,installed,2020,justrenovated,gas,3,Antwerp
house,254000,2830,hyperequipped,1925,torenovate,gas,2,Antwerp
apartment,113750,2100,semiequipped,1977,torenovate,gas,3,Antwerp
apartment,180000,2220,installed,2000,good,gas,1,Antwerp
apartment,210000,2620,semiequipped,1977,good,gas,2,Antwerp
house,579000,2890,hyperequipped,1981,good,electric,4,Antwerp
apartment,165000,2627,semiequipped,1968,good,gas,1,Antwerp
apartment,449000,2600,semiequipped,1933,good,gas,2,Antwerp
apartment,319000,2850,hyperequipped,2014,good,gas,2,Antwerp
apartment,745000,2018,installed,1923,justrenovated,gas,2,Antwerp
house,329000,2160,semiequipped,1949,torenovate,gas,3,Antwerp
